year,team_abbr,league,city,name
2017,ANA,A,Anaheim,Angels
2017,BAL,A,Baltimore,Orioles
2017,BOS,A,Boston,Red Sox
2017,CHA,A,Chicago,White Sox
2017,CLE,A,Cleveland,Indians
2017,DET,A,Detroit,Tigers
2017,HOU,A,Houston,Astros
2017,KCA,A,Kansas City,Royals
2017,MIN,A,Minnesota,Twins
2017,NYA,A,New York,Yankees
2017,OAK,A,Oakland,Athletics
2017,SEA,A,Seattle,Mariners
2017,TBA,A,Tampa Bay,Rays
2017,TEX,A,Texas,Rangers
2017,TOR,A,Toronto,Blue Jays
2017,ARI,N,Arizona,Diamondbacks
2017,ATL,N,Atlanta,Braves
2017,CHN,N,Chicago,Cubs
2017,CIN,N,Cincinnati,Reds
2017,COL,N,Colorado,Rockies
2017,LAN,N,Los Angeles,Dodgers
2017,MIA,N,Miami,Marlins
2017,MIL,N,Milwaukee,Brewers
2017,NYN,N,New York,Mets
2017,PHI,N,Philadelphia,Phillies
2017,PIT,N,Pittsburgh,Pirates
2017,SDN,N,San Diego,Padres
2017,SFN,N,San Francisco,Giants
2017,SLN,N,St. Louis,Cardinals
2017,WAS,N,Washington,Nationals
